STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,IMPACT2,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1,10001,1,1,2,15,1,4,10,42,0,1,0,13,2,12,422,12422,15,2000,1FMPU18L1YLC,1,F,M,P,U,1,8,L,1,Y,L,C,0,P,FORD,EPT,UT,0,17,5401,,0,1191,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,9,5,99,98,6,2,2,0,0,1,1,13,30296,6,1,0,0,3,1,65,180,98,2,0,2,0,9,2008,11,2008,0,0,0,0,0,2,2,70,1,2,2,1,0,0,1,13,1,1,4,1,1,1
1,10002,1,1,1,11,1,6,0,30,0,1,0,1,1,9,38,9038,4,1998,1P3EJ46C8WN1,1,P,3,E,J,4,6,C,8,W,N,1,0,P,PLYM,BEE,4D,98,17,2848,,0,1080,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,12,6,2,30,0,0,0,1,1,36401,6,1,0,0,3,0,65,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,1,1,2,1,0,0,1,12,1,1,4,6,1,0
1,10003,1,3,1,14,1,15,10,12,11,1,0,1,1,53,705,53705,80,2005,JS1GR7JA5521,J,S,1,G,R,7,J,A,5,5,2,1,0,M,SUZI,SRK,RS,5,17,,,,,,,749,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,13,13,6,2,12,0,0,0,1,1,36607,6,1,0,0,2,1,80,300,1,0,0,0,2,9,2009,10,2009,1,0,0,0,0,2,2,35,1,1,2,1,0,0,1,64,3,2,1,69,1,0
1,10003,2,3,1,14,1,15,10,12,11,1,0,1,1,49,40,49040,4,2008,4T1BE46KX8U7,4,T,1,B,E,4,6,K,X,8,U,7,0,P,TOYT,XSL,4D,8,17,3263,,0,1093,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,12,12,4,3,12,0,0,0,1,1,36606,6,1,0,0,3,0,61,140,1,0,0,0,0,8,2008,8,2008,0,38,0,0,0,2,2,35,1,1,2,1,0,0,11,15,1,1,1,68,0,0
1,10003,3,3,1,14,1,15,10,12,11,1,0,1,1,35,47,35047,4,2006,1N4AL11D06C2,1,N,4,A,L,1,1,D,0,6,C,2,0,P,NISS,ASL,4D,6,17,2915,,0,1102,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,12,2,1,12,0,0,0,1,1,36607,6,1,0,0,3,1,66,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30,1,1,2,1,20,3,5,98,1,1,1,98,0,0
1,10004,1,2,1,21,1,1,16,12,2,1,0,92,0,24,1,24001,4,1994,1G8ZJ5571RZ3,1,G,8,Z,J,5,5,7,1,R,Z,3,0,P,STRN,SL2,4D,94,17,2308,,0,1024,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,3,1,5,12,12,6,2,12,0,0,0,1,1,35125,6,1,0,0,3,1,73,140,0,0,0,0,0,0,0,0,0,0,51,0,0,0,1,2,45,1,3,2,2,0,0,1,10,1,1,1,52,1,0
1,10004,2,2,1,21,1,1,16,12,2,1,0,1,3,98,804,98804,66,2000,2WKEDDXJ3YK9,2,W,K,E,D,D,X,J,3,Y,K,9,1,T,WSTR,49E,DS,0,17,,8,0,0,CNV,D,,1,57,997796,57997796,3,6,3,1,0,0,0,0,0,0,0,999,0,0,0,12,12,6,2,12,0,0,0,1,1,35951,6,1,6,0,3,0,68,235,1,0,0,0,0,7,2009,7,2009,0,89,0,0,0,1,2,45,1,3,2,2,0,0,1,54,1,1,1,52,0,0
1,10005,1,2,1,4,1,6,38,12,7,1,0,1,1,7,482,7482,31,1999,1B7KC23Z9XJ6,1,B,7,K,C,2,3,Z,9,X,J,6,0,T,DODG,Q25,4C,99,17,,2,1547,1387,RPC,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,11,12,6,2,2,0,0,1,1,1,35115,6,1,0,0,3,0,71,250,0,0,0,2,0,2,2007,10,2009,0,28,0,0,0,2,2,55,2,1,2,1,40,3,14,10,1,1,2,45,1,0
1,10005,2,2,1,4,1,6,38,12,7,1,0,1,1,20,431,20431,16,2002,1GNEC16Z52J1,1,G,N,E,C,1,6,Z,5,2,J,1,0,P,CHEV,C15,UT,2,17,4914,,0,1300,,F,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,2,2,2,1,12,0,0,0,1,1,35114,6,1,0,0,3,1,73,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,2,1,2,1,40,3,14,60,6,1,1,47,0,0
1,10006,1,1,1,1,1,5,34,32,0,1,0,1,1,12,481,12481,31,1988,1FTEF14N3JNB,1,F,T,E,F,1,4,N,3,J,N,B,0,T,FORD,F15,PK,88,17,,2,1330,1170,COF,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,1,5,3,13,6,2,32,0,0,0,1,1,35204,6,1,0,0,3,0,70,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,70,1,6,2,2,0,0,1,13,1,1,4,1,1,0
