STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,1,0,0,0,1,1,5,1050,4,1,2011,3,16,51,1,2,2,US-SR 1,,700,31.93380833,-85.137519440,0,34,0,0,1,1,4,0,5,1,0,1,0,0000000,99,99,17,2,99,99,0,0,0,1,1
1,10002,1,1,0,0,0,1,1,73,1750,4,1,2011,3,23,40,0,16,6,7840,,0,33.54500833,-86.652594440,0,35,0,0,1,1,4,0,3,1,0,1,0,0000000,23,46,23,50,88,88,0,0,0,1,0
1,10003,2,2,0,0,0,5,5,97,2100,5,1,2011,4,9,14,0,15,6,5884,,0,30.70789444,-88.173416670,0,12,2,0,1,1,1,0,1,2,0,2,0,0000000,99,99,9,16,99,99,0,0,0,2,1
1,10005,1,1,0,0,0,1,1,15,100,8,1,2011,7,15,35,0,14,6,5602,,0,33.67650278,-85.841266670,0,34,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,15,40,88,88,0,0,0,1,0
1,10006,1,1,0,0,0,2,2,71,2850,8,1,2011,7,6,16,1,2,2,US-SR 2,,1505,34.78365556,-85.886627780,0,34,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,6,16,99,99,0,0,0,1,0
1,10007,2,2,0,0,0,3,3,101,2130,11,1,2011,3,18,50,1,12,2,US-SR 6,4370,0,32.32708889,-86.241230560,0,30,0,1,2,2,4,0,3,1,0,1,0,0000000,99,99,19,1,88,88,0,0,0,1,0
1,10008,1,1,0,0,0,2,2,9,2330,13,1,2011,5,4,40,0,5,2,US-SR 53,,2561,33.96973611,-86.492958330,0,42,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,5,8,99,99,0,0,0,2,0
1,10009,1,1,0,2,2,2,2,97,2100,14,1,2011,6,14,45,0,12,6,6791,9022,0,30.69777500,-88.106225000,0,8,0,0,3,2,4,0,1,1,0,1,0,0000000,99,99,14,49,99,99,0,0,0,1,0
1,10010,1,1,0,0,0,1,1,71,2850,15,1,2011,7,2,55,0,5,3,SR-117,,400,34.88033889,-85.859366670,0,42,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,2,12,88,88,0,0,0,1,1
1,10011,2,2,0,0,0,2,2,127,0,1,1,2011,7,6,20,1,2,2,US-SR 4,,762,33.69312778,-87.122450000,0,12,1,0,1,1,1,0,3,2,0,2,0,0000000,99,99,6,15,99,99,0,0,0,1,0
1,10012,1,1,0,1,1,2,2,83,170,1,1,2011,7,18,50,0,15,6,1179,563,0,34.79766389,-86.983277780,0,8,0,0,2,2,1,0,3,1,0,1,0,0000000,99,99,18,57,88,88,0,0,0,1,0
1,10013,1,1,0,0,0,1,1,89,2368,2,1,2011,1,16,0,0,16,6,1194,,0,34.58037778,-86.437113890,0,42,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,16,10,88,88,0,0,0,1,0
1,10014,1,1,0,1,1,1,1,79,0,2,1,2011,1,0,10,0,4,4,1460,,0,34.52971667,-87.198444440,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,0,20,99,99,0,0,0,1,0
1,10015,1,1,0,0,0,1,1,7,0,3,1,2011,2,7,10,0,4,4,1041,,0,33.09127222,-87.051747220,0,42,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,7,34,99,99,0,0,0,1,0
1,10016,2,2,0,0,0,3,3,89,1730,3,1,2011,2,10,35,0,14,3,SR-20,8161,862,34.69465278,-86.707119440,0,12,6,0,2,3,1,0,1,1,0,1,0,0000000,99,99,10,41,99,99,0,0,0,1,0
1,10017,1,1,0,1,1,1,1,45,2380,4,1,2011,3,17,11,0,2,2,US-SR 53,,425,31.43933611,-85.643066670,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,17,20,88,88,0,0,0,1,0
1,10018,1,1,0,0,0,2,2,115,0,7,1,2011,6,3,13,1,1,1,I-59,,1585,33.77892500,-86.421847220,0,34,0,0,1,1,3,0,3,1,0,1,0,0000000,99,99,3,40,99,99,0,0,0,1,1
1,10019,1,1,0,0,0,1,1,77,0,9,1,2011,1,6,30,0,5,4,1154,,0,34.95936667,-87.732461110,0,34,0,0,1,1,4,0,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
1,10020,1,1,0,0,0,1,1,85,0,9,1,2011,1,20,0,0,5,4,1127,,0,32.17369722,-86.499013890,0,42,0,0,1,1,4,0,3,3,0,3,0,0000000,88,88,88,88,88,88,0,0,0,1,0
1,10021,1,1,0,0,0,2,2,127,0,11,1,2011,3,13,35,0,3,3,SR-118,,379,33.92328611,-87.622141670,0,34,0,0,1,1,4,0,1,2,0,2,0,0000000,99,99,14,16,88,88,0,0,0,1,0
1,10022,2,2,0,0,0,3,3,113,0,13,1,2011,5,15,31,0,15,3,SR-165,,230,32.29405556,-85.007416670,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,99,99,15,36,99,99,0,0,0,1,0
1,10023,1,1,0,0,0,1,1,65,0,13,1,2011,5,21,20,0,4,4,1034,,0,32.56312222,-87.605522220,0,1,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,22,7,88,88,0,0,0,1,1
1,10024,1,1,0,0,0,1,1,129,0,14,1,2011,6,11,45,0,4,4,1168,,0,31.60381389,-88.140125000,0,42,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,12,5,99,99,0,0,0,1,0
1,10025,1,1,0,0,0,1,1,123,0,14,1,2011,6,8,47,0,3,3,SR-49,,195,32.69619444,-85.787677780,0,1,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,8,58,88,88,0,0,0,1,0
1,10026,1,1,0,0,0,1,1,55,0,15,1,2011,7,13,40,0,15,4,1302,,0,33.97150000,-85.764802780,0,42,0,0,1,1,4,0,1,10,0,10,0,0000000,99,99,13,50,99,99,0,0,0,1,1
1,10027,2,2,0,0,0,3,3,101,2130,15,1,2011,7,8,35,1,11,1,I-65,,1723,32.38362222,-86.322241670,0,12,7,0,1,1,1,0,1,1,0,1,0,0000000,99,99,8,40,99,99,0,0,0,1,0
1,10028,2,2,0,0,0,5,5,77,0,15,1,2011,7,15,0,1,2,2,US-SR 2,,510,34.84573333,-87.379030560,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,99,99,15,7,99,99,0,0,0,1,1
1,10029,2,2,0,0,0,5,5,97,0,15,1,2011,7,18,30,0,14,4,1373,12789,0,30.58892500,-88.204877780,0,12,2,0,3,3,1,0,3,1,0,1,0,0000000,99,99,18,26,99,99,0,0,0,1,0
1,10030,2,2,0,0,0,7,7,97,0,15,1,2011,7,17,50,0,15,2,US-SR 17,,187,30.92023889,-88.199497220,0,12,8,0,1,1,1,0,3,1,0,1,0,0000000,99,99,18,10,99,99,0,0,0,2,0
1,10031,1,1,0,0,0,1,1,97,0,16,1,2011,1,7,10,0,5,4,1672,,0,30.96880556,-88.136336110,0,1,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,7,39,99,99,0,0,0,1,0
