STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,MCYCL_WT,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,VIN_REST,WHLDRWHL,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1,10001,1,1,2,1,1,20,33,1,0,1,0,28,2,49,472,49472,30,2008,5TEJU62N58Z4,5,T,E,J,U,6,2,N,5,8,Z,4,0,T,TOYT,DCP,CW,8,17,,1,0,1278,TAC,G,,,6,244,,,,B,3855,00,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,1,3,0,6,2,1,0,0,0,1,28,39401,6,1,0,0,3,0,72,175,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,2,65,3,5,2,1,0,0,14,13,6,1,4,6,1,1
1,10002,1,1,1,1,1,13,15,14,0,1,0,0,0,98,998,98998,97,2006,000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,12,6,2,14,0,0,0,1,98,39759,0,0,0,0,1,0,999,999,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2,25,1,1,2,1,0,0,1,15,1,1,4,11,1,0
1,10003,1,1,6,2,1,1,35,35,0,1,0,39,1,2,404,2404,14,2004,1J4GW48SX4C3,1,J,4,G,W,4,8,S,X,4,C,3,0,T,JEEP,LCF,4W,4,17,,1,0,1059,GCK,G,,,6,244,,,,,3888,02,E,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,1,5,12,6,2,1,0,0,0,1,39,44120,6,1,0,0,3,1,66,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,6,2,1,0,0,1,87,7,1,4,1,1,0
1,10004,1,2,1,5,1,15,12,12,1,1,0,1,2,2,404,2404,14,1999,1J4GW68S2XC7,1,J,4,G,W,6,8,S,2,X,C,7,0,T,JEEP,LMT,4W,99,17,,1,0,1059,GCK,G,,,6,242,,,,,3809,00,E,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,1,3,12,6,2,1,0,0,0,1,1,36804,6,1,0,0,3,0,65,140,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,4,70,1,1,2,1,0,0,1,51,1,1,1,24,1,0
1,10004,2,2,4,5,1,15,12,12,1,1,0,1,2,2,405,2405,14,2004,1J4GK48K04W1,1,J,4,G,K,4,8,K,0,4,W,1,0,T,JEEP,SPR,4W,4,17,,1,0,1043,LIB,G,,,6,226,,,,,3462,01,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,6,2,1,12,0,0,0,1,1,36863,6,1,0,0,3,0,65,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,70,1,1,2,1,0,0,1,53,1,1,1,25,0,0
1,10005,1,1,1,6,1,6,0,42,0,1,0,1,1,12,471,12471,30,1995,1FTCR10A4SUC,1,F,T,C,R,1,0,A,4,S,U,C,0,T,FORD,RNG,PK,95,17,,1,1140,1080,RNG,G,,,4,140,,,,B,00000,00,M,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,1,6,2,42,0,0,0,1,1,35633,1,1,1,0,2,0,66,240,0,1,0,0,0,12,2011,12,2011,1,89,0,0,0,1,2,45,3,1,2,1,0,0,14,6,1,4,4,7,1,0
1,10006,1,2,1,8,1,18,41,8,0,1,0,1,1,54,32,54032,4,1989,JH4KA4640KC0,J,H,4,K,A,4,6,4,0,K,C,0,0,P,ACUR,LEG,4D,89,17,3146,,0,1087,,G,,F,6,165,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,2,3,8,0,0,0,1,1,36104,1,1,0,0,2,1,66,125,0,6,0,0,0,12,2009,2,2010,0,0,0,0,0,1,2,35,1,1,2,2,0,0,1,80,99,1,1,13,0,0
1,10006,2,2,1,8,1,18,41,8,0,1,0,1,2,13,421,13421,15,2003,5LMFU27R93LJ,5,L,M,F,U,2,7,R,9,3,L,J,0,P,LINC,NAV,UT,3,17,5822,,0,1190,,G,,F,8,330,,,18R255,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,14,0,3,8,0,0,0,1,1,36108,6,1,0,0,3,0,70,155,1,0,0,0,0,8,2009,8,2009,0,0,0,0,0,1,2,35,1,1,2,2,0,0,1,80,99,1,1,98,0,0
1,10007,1,1,1,8,1,3,0,34,0,1,0,1,2,49,40,49040,4,2008,4T1BK46K08U0,4,T,1,B,K,4,6,K,0,8,U,0,0,P,TOYT,LXS,4D,8,17,3461,,0,1093,,G,,F,6,214,,,16R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,1,5,12,6,2,42,0,0,0,1,1,36701,6,1,0,0,3,0,69,130,0,0,0,0,1,2,2011,2,2011,1,0,0,0,0,1,2,45,1,1,2,1,0,0,1,9,1,1,4,1,1,1
1,10008,1,1,1,4,1,1,50,35,0,1,0,1,1,20,471,20471,30,1994,1GCCS1441R82,1,G,C,C,S,1,4,4,1,R,8,2,0,T,CHEV,S14,PK,94,17,,1,1179,1083,S,G,,,4,133,,,,B,2905,01,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,35,0,0,0,1,1,36853,6,1,0,0,3,1,65,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,6,2,1,0,0,1,12,1,1,4,6,1,1
