STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1,10001,1,1,8,6,1,0,55,42,0,1,0,1,2,23,431,23431,16,1994,1GKEC16K7RJ7,1,G,K,E,C,1,6,K,7,R,J,7,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,3,6,2,42,0,0,0,1,1,35967,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,70,1,1,2,2,0,0,1,1,1,4,4,7,2,0
1,10002,1,2,1,3,1,21,24,12,6,1,0,1,2,87,881,87881,63,1988,1XP5D29XXJN2,1,X,P,5,D,2,9,X,X,J,N,2,0,0,57,938238,57938238,3,2,97,1,0,0,0,0,0,0,0,65,0,0,0,12,6,2,12,0,0,0,1,1,35905,6,1,6,0,3,0,72,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,65,1,1,2,1,0,0,1,66,8,1,2,88,0,0
1,10002,2,2,1,3,1,21,24,12,6,1,0,1,1,2,482,2482,31,1988,1JTMP63P1JT2,1,J,T,M,P,6,3,P,1,J,T,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,10,6,2,12,0,0,0,1,1,35954,6,1,0,0,3,0,71,215,0,0,0,1,0,8,2010,8,2010,0,38,0,0,0,1,2,98,1,1,2,1,20,3,1,17,1,1,1,89,1,0
1,10003,1,1,1,6,1,11,45,30,0,1,0,1,1,35,43,35043,4,2002,3N1CB51D92L6,3,N,1,C,B,5,1,D,9,2,L,6,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,30,0,0,0,1,1,35801,6,1,0,0,3,0,75,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,40,1,5,2,1,0,0,1,13,1,1,4,1,1,0
1,10004,1,1,3,6,1,12,25,24,0,1,0,1,2,7,482,7482,31,2005,1D7HA18N85J5,1,D,7,H,A,1,8,N,8,5,J,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,69,0,0,0,2,6,2,24,0,0,0,1,1,35211,0,0,0,0,0,0,999,999,0,2,0,0,2,4,2011,12,2011,3,0,0,0,0,2,2,40,1,5,1,1,0,0,1,6,1,3,4,7,2,0
1,10005,1,2,1,6,1,18,28,12,1,1,0,1,1,20,481,20481,31,2010,3GCRCREA8AG1,3,G,C,R,C,R,E,A,8,A,G,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,6,2,12,0,0,0,1,1,35404,6,1,0,0,3,1,65,165,2,0,0,0,0,1,2010,12,2010,0,89,0,0,0,2,2,65,1,6,2,1,0,0,1,51,1,1,1,24,0,0
1,10005,2,2,2,6,1,18,28,12,1,1,0,1,2,24,1,24001,4,2002,1G8ZH528X2Z1,1,G,8,Z,H,5,2,8,X,2,Z,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,6,6,2,12,0,0,0,1,1,35405,6,1,0,0,3,0,73,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,65,1,6,2,1,0,0,1,53,1,1,1,25,1,0
1,10006,1,2,1,8,1,14,31,12,6,1,0,1,2,23,481,23481,31,2003,1GTHK23183F1,1,G,T,H,K,2,3,1,8,3,F,1,1,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,12,6,2,12,0,0,0,1,1,36541,6,1,0,0,3,1,72,155,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,4,40,1,1,2,1,3,3,1,67,99,1,1,83,0,0
1,10006,2,2,2,8,1,14,31,12,6,1,0,1,1,12,17,12017,4,1998,1FAFP52U4WA2,1,F,A,F,P,5,2,U,4,W,A,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,8,6,2,12,0,0,0,1,1,36541,6,1,0,0,3,1,72,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,1,1,2,1,3,3,11,15,1,1,1,82,1,0
1,10007,1,1,1,11,1,21,30,34,0,1,0,1,1,49,40,49040,4,1995,4T1GK13E2SU0,4,T,1,G,K,1,3,E,2,S,U,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,1,5,12,6,2,30,0,0,0,1,1,35980,6,1,0,0,3,0,65,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,1,6,2,2,0,0,1,12,1,1,4,6,1,0
