STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,1,0,0,0,2,2,71,0,1,1,2014,4,1,15,0,5,4,CR-67,,0,34.62372222,-85.98140833,0,17,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,1,35,99,99,0,0,0,1,1
1,10002,1,1,0,0,0,1,1,59,0,1,1,2014,4,13,30,0,6,4,CR-26,,0,34.39742778,-87.77211667,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,13,50,99,99,0,0,0,1,1
1,10003,2,2,0,0,0,7,7,125,3050,1,1,2014,4,3,7,1,13,2,US-SR 6,VERTERAN'S MEMORIAL PKWY,0,33.19717222,-87.52591111,0,12,6,0,2,2,0,1,3,1,0,1,0,0000000,99,99,3,10,99,99,0,0,0,2,0
1,10004,3,3,0,0,0,5,5,121,2275,2,1,2014,5,9,0,1,13,2,US-SR 38,,391,33.19638333,-86.30783056,0,12,2,0,1,1,0,1,1,2,0,2,0,0000000,99,99,9,15,99,99,0,0,0,1,0
1,10005,1,1,0,0,0,1,1,43,0,2,1,2014,5,16,30,0,5,4,CR-719,,0,34.18018889,-86.78459167,0,35,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,12,45,88,88,0,0,0,1,0
1,10006,1,1,0,0,0,1,1,35,0,3,1,2014,6,2,0,0,4,4,CR-23,,0,31.42733056,-87.38682778,0,32,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,6,15,88,88,0,0,0,1,0
1,10007,3,2,1,0,0,2,2,97,2100,3,1,2014,6,18,40,0,16,6,DUVAL ST,,0,30.66011389,-88.07023056,0,12,7,0,1,1,0,1,3,10,0,10,0,0000000,99,99,18,48,88,88,0,0,0,1,1
1,10008,2,2,0,0,0,4,4,13,0,4,1,2014,7,6,20,1,1,1,I-65,,1368,31.93017778,-86.57133889,0,12,1,0,1,1,0,1,4,1,0,1,0,0000000,99,99,6,30,99,99,0,0,0,1,0
1,10009,3,3,0,0,0,5,5,127,920,4,1,2014,7,15,39,1,2,2,US-SR 78,,1770,33.75402778,-87.061075,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,15,51,88,88,0,0,0,1,0
1,10010,2,2,0,0,0,6,6,101,2130,6,1,2014,2,17,56,0,14,6,ALABAMA RIVER PARKWAY,,0,32.42774167,-86.26965278,0,12,2,0,1,1,0,1,3,1,0,1,0,0000000,99,99,18,2,99,99,0,0,0,2,0
