STATE,STATENAME,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,AOI1NAME,SOE,SOENAME,VNUMBER2,VNUMBER2NAME,AOI2,AOI2NAME
1,Alabama,10001,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10001,2,1,2,1,12,12 Clock Point,35,Embankment,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10001,3,1,3,1,55,Non-Harmful Event,67,Vehicle Went Airborne,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10001,4,1,4,1,12,12 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10002,1,1,1,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10002,2,1,2,1,6,6 Clock Point,34,Ditch,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10002,3,1,3,1,6,6 Clock Point,24,Guardrail Face,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10002,4,1,4,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10003,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10003,2,1,2,1,12,12 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10003,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10003,4,1,4,1,0,Non-Collision,2,Fire/Explosion,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10004,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10004,2,1,2,1,12,12 Clock Point,53,Mail Box,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10004,3,1,3,1,12,12 Clock Point,35,Embankment,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10004,4,1,4,1,12,12 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10005,1,1,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,3,3 Clock Point
1,Alabama,10005,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10005,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10005,1,2,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,3,3 Clock Point
1,Alabama,10006,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10006,2,1,2,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10006,3,1,3,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10006,4,1,4,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10006,5,1,5,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10006,6,1,6,1,13,Top,38,Fence,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10007,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10007,2,1,2,1,12,12 Clock Point,43,Other Fixed Object,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10008,1,1,1,1,12,12 Clock Point,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10009,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10009,2,1,2,1,1,1 Clock Point,23,Bridge Rail (Includes parapet),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10009,3,1,3,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10009,4,1,4,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10009,5,1,5,1,12,12 Clock Point,59,Traffic Sign Support,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10009,6,1,6,1,12,12 Clock Point,59,Traffic Sign Support,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10009,7,1,7,1,98,Not Reported,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10009,8,1,8,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10009,9,1,9,1,98,Not Reported,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10010,1,1,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
1,Alabama,10010,1,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
1,Alabama,10011,1,1,1,1,11,11 Clock Point,12,Motor Vehicle In-Transport,2,2,4,4 Clock Point
1,Alabama,10011,1,2,1,1,11,11 Clock Point,12,Motor Vehicle In-Transport,2,2,4,4 Clock Point
1,Alabama,10011,2,2,2,2,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10011,3,2,3,2,61,Left,23,Bridge Rail (Includes parapet),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10011,4,2,4,2,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10011,5,2,5,2,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10012,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10012,2,1,2,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,11,11 Clock Point
1,Alabama,10012,3,1,3,1,12,12 Clock Point,12,Motor Vehicle In-Transport,3,3,12,12 Clock Point
1,Alabama,10012,2,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,11,11 Clock Point
1,Alabama,10012,3,3,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,3,3,12,12 Clock Point
1,Alabama,10013,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10013,2,1,2,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10013,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10014,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10014,2,1,2,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10014,3,1,3,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10014,4,1,4,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10014,5,1,5,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10015,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10015,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10015,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10016,1,1,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,2,2 Clock Point
1,Alabama,10016,1,2,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,2,2 Clock Point
1,Alabama,10017,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10017,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10017,3,1,3,1,12,12 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10018,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10018,2,1,2,1,12,12 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10019,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10019,2,1,2,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10019,3,1,3,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10019,4,1,4,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10019,5,1,5,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10019,6,1,6,1,98,Not Reported,38,Fence,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10020,1,1,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,3,3 Clock Point
1,Alabama,10020,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10020,3,1,3,1,98,Not Reported,59,Traffic Sign Support,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10020,1,2,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,3,3 Clock Point
1,Alabama,10021,1,1,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
1,Alabama,10021,1,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
1,Alabama,10022,1,1,1,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10022,2,1,2,1,7,7 Clock Point,52,Guardrail End,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10022,3,1,3,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10022,4,1,4,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10022,5,1,5,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10022,6,1,6,1,98,Not Reported,24,Guardrail Face,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10023,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10023,2,1,2,1,9,9 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10024,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10024,2,1,2,1,12,12 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10025,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10025,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10025,3,1,3,1,12,12 Clock Point,18,Other Object (not fixed),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10025,4,1,4,1,0,Non-Collision,2,Fire/Explosion,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10026,1,1,1,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10026,2,1,2,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10026,3,1,3,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10026,4,1,4,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10026,5,1,5,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10027,1,1,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,9,9 Clock Point
1,Alabama,10027,1,2,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,1,1,9,9 Clock Point
1,Alabama,10027,2,2,2,2,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10028,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10028,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10028,3,1,3,1,55,Non-Harmful Event,67,Vehicle Went Airborne,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10028,4,1,4,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10029,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
1,Alabama,10029,2,1,2,1,10,10 Clock Point,59,Traffic Sign Support,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
1,Alabama,10029,3,1,3,1,9,9 Clock Point,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
