STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
2,Alaska,20018,2,1,1KKVA452*6L******,2021-09-08 14:02:07,0,6,TRAILER,2340,KENTUCKY MANUFACTURING CO.,2048,KENTUCKY MANUFACTURING CO./ KENTUCKY TRAILER/ KENTUCKY TRAILER TECH,5803,Kentucky Manufacturing Co./ Kentucky Trailer/ Kentucky Trailer Tech,2006,,,6,UNITED STATES (USA),KENTUCKY,LOUISVILLE,Kentucky Manufacturing Co.,,,,,,,,36,Van Trailer,,,45.000,Body Type - Dry Freight,2,,
2,Alaska,20018,2,2,1KKVA452*6L******,2021-09-08 14:02:07,0,6,TRAILER,2340,KENTUCKY MANUFACTURING CO.,2048,KENTUCKY MANUFACTURING CO./ KENTUCKY TRAILER/ KENTUCKY TRAILER TECH,5803,Kentucky Manufacturing Co./ Kentucky Trailer/ Kentucky Trailer Tech,2006,,,6,UNITED STATES (USA),KENTUCKY,LOUISVILLE,Kentucky Manufacturing Co.,,,,,,,,36,Van Trailer,,,45.000,Body Type - Dry Freight,2,,
2,Alaska,20023,1,2,5HTLL424*E5******,2021-09-08 14:02:08,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",5444,J&L,14160,J&L Trailers,2014,,,6,UNITED STATES (USA),TEXAS,ROME,,Production ceased in 2016,61,Trailer,,,,,15,Tank Trailer,2,Pintle Hitch/Hook,42.000,AL ASPHALT,4,,
4,Arizona,40037,2,1,1S12E953*YE******,2021-09-08 14:02:08,0,6,TRAILER,14956,"STRICK TRAILERS, LLC",4977,STRICK COMMERCIAL TRAILER,12176,Strick Commercial Trailer,2000,Smooth Side,,6,UNITED STATES (USA),,MONROE,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van,2,3,Tandem
4,Arizona,40095,2,1,4WWGGB6B*7M******,2021-09-08 14:02:08,0,6,TRAILER,11681,WILSON TRAILER CO.,3855,WILSON TRAILER CO.,8390,Wilson Trailer Co.,2007,ALUMINUM CROSSBAR - 18 INCH CENTERS (CF-CFD),,6,UNITED STATES (USA),MISSOURI,MOBERLY,Plant 6,,61,Trailer,,,,,,,,,48.000,Type of Trailer: ALUM FRAME FLATBED - (ACF),2,,
4,Arizona,40122,1,1,1UYVS253*EM******,2021-09-08 14:02:08,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2014,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40127,1,1,1UYVS253*FU******,2021-09-08 14:02:08,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2015,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40162,1,1,4P2WB242*WU******,2021-09-08 14:02:09,0,6,TRAILER,1491,PACE AMERICAN OF UTAH INC.,2500,PACE AMERICAN,6324,Pace American Trailer,1998,,,6,UNITED STATES (USA),UTAH,,Pace American of Utah,"GVWR: 3,000-24,000",,,7,"Class 6: 19,501 - 26,000 lb (8,845 - 11,794 kg)",,,59,Van/Covered Cargo/Enclosed,,,24.000,Length: 10-45 ft; Width: 8.5 ft; Tag Enclosed Cargo,2,,
4,Arizona,40166,2,1,1JJV532W*5L******,2021-09-08 14:02:09,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,13327,Wabash National Corporation,2005,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40186,1,1,1UYVS253*1U******,2021-09-08 14:02:09,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2001,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
