STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
1,Alabama,10467,2,1,13N24830*61******,2021-09-08 14:29:34,0,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2006,,,6,UNITED STATES (USA),ALABAMA,HALEYVILLE,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,48.000,"Tandem Axles, Spread",2,,
2,Alaska,20033,2,1,1BN2T434*MP******,2021-09-08 14:29:34,0,6,TRAILER,4571,BEALL TRAILERS,4862,BEALL TRAILERS,11201,Beall Trailers,2021,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,43.000,,4,,
2,Alaska,20033,2,2,1BN1T274*JP******,2021-09-08 14:29:34,1,6,TRAILER,4571,BEALL TRAILERS,4862,BEALL TRAILERS,11201,Beall Trailers,2018,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,61,Trailer,,,,,15,Tank Trailer,14,Bumper Pull,27.000,,4,,
2,Alaska,20043,1,1,10BEAB54*GP******,2021-09-08 14:29:35,0,6,TRAILER,5083,BRENNER TANK LLC,6976,BRENNER/BEALL/LAFAYETTE,21580,DOT 406,2016,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,61,Trailer,,,,,,,,,,Type of Material: Aluminum,5,,
4,Arizona,40011,1,1,527SR532*GL******,2021-09-08 14:29:35,0,6,TRAILER,6703,CIMC REEFER TRAILER INC.,1561,"CIMC REEFER TRAILER,INC",4978,"CIMC REEFER TRAILER,INC.",2016,,,6,UNITED STATES (USA),CALIFORNIA,LOS ANGELES,"CIMC Reefer Trailer,Inc",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Body Type: Reefer Van Trailer,2,,
4,Arizona,40018,1,1,1UYVS253*DU******,2021-09-08 14:29:35,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2013,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40018,2,1,1GRAA062*FW******,2021-09-08 14:29:35,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2015,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
4,Arizona,40058,2,1,1W1AFK6B*VK******,2021-09-08 14:29:36,0,6,TRAILER,11681,WILSON TRAILER CO.,3855,WILSON TRAILER CO.,8390,Wilson Trailer Co.,1997,12 FT FOLDING TAILGATE,,6,UNITED STATES (USA),IOWA,SIOUX CITY,PLANT 2,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,,,48.000,OUTSIDE FRAME LEVEL DECK LOWBED,2,,
4,Arizona,40102,3,1,1UYVS253*CP******,2021-09-08 14:29:36,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2012,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40136,2,1,1UYVS253*FU******,2021-09-08 14:29:36,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2015,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40192,2,1,1TKN0432*BW******,2021-09-08 14:29:36,0,6,TRAILER,13498,TRAIL KING INDUSTRIES,3251,TRAIL KING INDUSTRIES,7386,TRAIL KING INDUSTRIES,2011,,,6,UNITED STATES (USA),NORTH DAKOTA,WEST FARGO,,Configuration: Position not used at this time.,61,Trailer,,,,,13,Livestock Trailer,,,43.000,"Trailer Length: Inverted Hoist= Add 2FT( but leave the unit part # as is)   Extend Apron = Add 1 Ft( if apron 14"" extended floor plate)",2,,
4,Arizona,40203,1,1,5V8VA532*JM******,2021-09-08 14:29:36,0,6,TRAILER,16522,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),6474,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),17782,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),2018,,,6,UNITED STATES (USA),INDIANA,MONON,,,61,Trailer,,,,,,,,,53.000,Interior Post Aluminum Semi Trailer,2,3,Tandem
4,Arizona,40278,3,1,1UYVS253*XU******,2021-09-08 14:29:37,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,1999,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40286,2,1,1UYVS253*J7******,2021-09-08 14:29:37,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2018,,,6,UNITED STATES (USA),VIRGINIA,GLADE SPRING,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
