ST_CASE,VEH_NO,MDRDSTRD,YEAR,FATALS,PER_TYP,INJ_SEV
10001,1,0,2010,1,1.0,4.0
10001,1,0,2010,1,2.0,3.0
10002,1,0,2010,1,1.0,4.0
10003,1,0,2010,1,1.0,4.0
10003,2,0,2010,1,1.0,0.0
10003,3,0,2010,1,1.0,0.0
10004,1,0,2010,1,1.0,4.0
10004,2,0,2010,1,1.0,0.0
10005,1,0,2010,1,1.0,4.0
10005,2,0,2010,1,1.0,0.0
10006,1,0,2010,1,1.0,4.0
10007,1,0,2010,2,1.0,4.0
10007,1,0,2010,2,2.0,4.0
10008,1,0,2010,1,1.0,3.0
10008,1,0,2010,1,2.0,4.0
10008,1,0,2010,1,2.0,3.0
10008,1,0,2010,1,2.0,3.0
10009,1,0,2010,1,1.0,4.0
10009,1,0,2010,1,2.0,3.0
10010,1,0,2010,1,1.0,0.0
10010,1,0,2010,1,2.0,4.0
10010,2,0,2010,1,1.0,2.0
10010,2,0,2010,1,2.0,2.0
10011,1,0,2010,1,1.0,4.0
10012,1,0,2010,1,1.0,3.0
10012,1,0,2010,1,2.0,4.0
10012,1,0,2010,1,2.0,3.0
10013,1,0,2010,1,1.0,1.0
10013,1,0,2010,1,2.0,1.0
10013,1,0,2010,1,2.0,4.0
10014,1,0,2010,1,1.0,4.0
10014,2,0,2010,1,1.0,3.0
10015,1,0,2010,1,1.0,4.0
10016,1,0,2010,1,1.0,4.0
10016,2,0,2010,1,1.0,1.0
10017,1,0,2010,1,1.0,4.0
10017,1,0,2010,1,2.0,0.0
10017,1,0,2010,1,2.0,0.0
10017,1,0,2010,1,2.0,0.0
10018,1,0,2010,2,1.0,4.0
10018,1,0,2010,2,2.0,4.0
10018,2,0,2010,2,1.0,2.0
10019,1,0,2010,1,1.0,4.0
10019,1,0,2010,1,2.0,3.0
10020,1,0,2010,1,1.0,3.0
10020,1,0,2010,1,2.0,4.0
10020,2,0,2010,1,1.0,2.0
10021,1,0,2010,1,1.0,4.0
10021,1,0,2010,1,2.0,3.0
10021,2,0,2010,1,1.0,0.0
10022,1,0,2010,1,1.0,0.0
10023,1,0,2010,1,1.0,4.0
10023,2,0,2010,1,1.0,0.0
10024,1,0,2010,1,1.0,3.0
10024,2,0,2010,1,1.0,0.0
10025,1,0,2010,1,1.0,4.0
10026,1,0,2010,1,1.0,4.0
10027,1,0,2010,1,1.0,4.0
